 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13,Min14,Max14,X14,Y14,Min15,Max15,X15,Y15,Min16,Max16,X16,Y16,Min17,Max17,X17,Y17,Min18,Max18,X18,Y18,Min19,Max19,X19,Y19,Min20,Max20,X20,Y20,Min21,Max21,X21,Y21,Min22,Max22,X22,Y22,Min23,Max23,X23,Y23,Min24,Max24,X24,Y24,Min25,Max25,X25,Y25,Min26,Max26,X26,Y26,Min27,Max27,X27,Y27,Min28,Max28,X28,Y28,Min29,Max29,X29,Y29,Min30,Max30,X30,Y30,Min31,Max31,X31,Y31,Min32,Max32,X32,Y32,Min33,Max33,X33,Y33,Min34,Max34,X34,Y34,Min35,Max35,X35,Y35,Min36,Max36,X36,Y36,Min37,Max37,X37,Y37,Min38,Max38,X38,Y38,Min39,Max39,X39,Y39,Min40,Max40,X40,Y40,Min41,Max41,X41,Y41,Min42,Max42,X42,Y42,Min43,Max43,X43,Y43,Min44,Max44,X44,Y44,Min45,Max45,X45,Y45,Min46,Max46,X46,Y46,Min47,Max47,X47,Y47,Min48,Max48,X48,Y48,Min49,Max49,X49,Y49
66,0,1,103.762,102.722,0,0,105.602,103.362,1,3,104.402,104.322,1,3,106.883,105.602,0,106,105.602,106.883,0,1,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
67,0,0,103.762,102.722,0,0,105.602,103.362,0,3,104.402,104.322,0,0,106.883,105.602,1,12,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
68,0,0,103.762,102.722,0,0,105.602,103.362,0,4,104.402,104.322,0,0,106.883,105.602,0,2,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
69,0,0,103.762,102.722,0,0,105.602,103.362,0,3,104.402,104.322,0,0,106.883,105.602,0,2,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
70,0,0,103.762,102.722,0,0,105.602,103.362,0,1,104.402,104.322,0,0,106.883,105.602,0,1,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,3,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
71,0,1,103.762,102.722,0,0,105.602,103.362,1,1,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,2,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
72,0,1,103.762,102.722,0,0,105.602,103.362,1,1,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,1,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
73,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,2,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
74,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,1,2,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,1,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
75,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,1,2,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,1,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
76,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,1,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
77,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,1,106.883,105.602,0,1,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
78,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,1,106.883,105.602,0,1,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
79,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,0,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
80,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,1,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,8,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
81,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,1,100.562,93.282,0,40,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
82,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,1,100.562,93.282,0,31,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
83,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,1,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
84,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,0,1,98.962,92.162,0,0,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
85,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,1,3,98.962,92.162,0,1,96.962,90.802,0,1,96.242,89.202,0,1,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
86,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,1,3,98.962,92.162,1,2,96.962,90.802,0,1,96.242,89.202,0,1,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
87,0,0,103.762,102.722,0,0,105.602,103.362,0,0,104.402,104.322,0,0,106.883,105.602,0,0,105.602,106.883,0,0,106.723,108.483,0,0,102.242,98.722,0,0,103.762,99.922,0,0,104.882,98.802,0,0,102.162,95.442,0,0,107.523,111.443,0,0,104.722,112.163,0,0,105.442,116.483,0,0,105.842,117.603,0,0,104.482,119.843,0,0,102.082,121.283,0,0,103.122,124.563,0,0,98.642,133.523,0,0,105.282,114.883,0,0,103.202,97.282,0,0,101.842,94.082,0,0,100.562,93.282,1,2,98.962,92.162,1,2,96.962,90.802,0,0,96.242,89.202,0,0,96.642,88.562,0,0,96.082,86.642,0,0,95.202,87.362,0,0,95.042,85.202,0,0,96.162,84.002,0,0,93.762,83.122,0,0,94.722,82.322,0,0,94.162,81.522,0,0,93.282,81.602,0,0,90.322,79.762,0,0,91.362,79.442,0,0,89.922,76.882,0,0,89.442,78.482,0,0,90.482,74.002,0,0,88.882,74.962,0,0,89.602,74.722,0,0,87.362,73.122,0,0,87.522,71.202,0,0,89.042,71.522,0,0,90.482,73.122,0,0,87.122,69.602,0,0,85.762,67.762,0,0,86.962,68.082,0,0,98.562,135.763
